unique_id	str_order	occ_cur	T_mean_sum	T_inertia	featureid
707	1	0.962711045	14.95222095	256.3090626	201476312
703	2	0.962711045	14.95222095	256.3090626	201476312
706	1	0.962711045	14.95222095	256.3090626	201476312
704	2	0.962711045	14.95222095	256.3090626	201476312
708	1	0.962711045	14.95222095	256.3090626	201476312
702	2	0.962711045	14.95222095	256.3090626	201476312
705	1	0.962711045	14.95222095	256.3090626	201476312
709	6	NA	NA	NA	201476315
712	1	0.922785163	14.09192276	332.0527623	201476319
713	1	0.922785163	14.09192276	332.0527623	201476319
711	2	0.922785163	14.09192276	332.0527623	201476319
692	3	0.979003174	14.93115941	299.353843	201476321
693	3	0.979003174	14.93115941	299.353843	201476321
691	3	0.979003174	14.93115941	299.353843	201476321
715	3	0.977043056	15.38532236	276.8411653	201476326
717	3	0.977043056	15.38532236	276.8411653	201476326
716	3	0.977043056	15.38532236	276.8411653	201476326
719	3	0.977043056	15.38532236	276.8411653	201476326
718	3	0.977043056	15.38532236	276.8411653	201476326
722	1	0.990344758	13.87045903	386.9371169	201476332
720	1	0.990344758	13.87045903	386.9371169	201476332
723	4	0.955484407	16.52962896	213.195414	201476337
725	2	0.988342492	14.40053257	340.9515633	201476348
730	1	0.988342492	14.40053257	340.9515633	201476348
729	1	0.988342492	14.40053257	340.9515633	201476348
728	1	0.988342492	14.40053257	340.9515633	201476348
727	1	0.988342492	14.40053257	340.9515633	201476348
638	1	0.991379513	13.80913937	250.3106532	201476349
732	4	0.947762557	16.96766729	192.7939888	201476356
726	2	0.947762557	16.96766729	192.7939888	201476356
747	3	0.975589924	14.69594533	379.1441635	201476357
740	1	0.975589924	14.69594533	379.1441635	201476357
736	3	0.975589924	14.69594533	379.1441635	201476357
744	3	0.975589924	14.69594533	379.1441635	201476357
745	3	0.975589924	14.69594533	379.1441635	201476357
746	3	0.975589924	14.69594533	379.1441635	201476357
654	2	0.975589924	14.69594533	379.1441635	201476357
743	3	0.975589924	14.69594533	379.1441635	201476357
742	1	0.975589924	14.69594533	379.1441635	201476357
741	1	0.975589924	14.69594533	379.1441635	201476357
737	1	0.975589924	14.69594533	379.1441635	201476357
738	3	0.975589924	14.69594533	379.1441635	201476357
739	3	0.975589924	14.69594533	379.1441635	201476357
