score	bar_type	drain_bar	drain_tot	strkm_bar	strkm_tot	upstr_bars	hydro_rof	struct_rof	geo_rof	unique_id	featureid
0.714	1	0.9126	4.1085	1.45065586	3.825904028	6	0.491881126	0.050234293	0.043313423	1076	201476769
0.678	1	0.7893	4.2993	1.296929131	7.427703553	5	0.40220303	0.911979124	0.961597069	897	201476564
0.784	1	0.9873	4.3407	1.00339671	2.429960265	6	0.046236147	0.343718031	0.136243741	1026	201476700
0.65	1	0.4482	0.4482	0.753706545	0.753706545	0	0.40795368	0.917656001	0.382205121	903	201476565
0.636	1	0.0153	0.0153	0.088039688	0.088039688	0	0.569255789	0.995003045	0.04167731	1018	201476700
0.726	1	0.1629	4.4622	0.421260268	7.848963822	6	0.545064778	0.483578836	0.475356545	898	201476564
0.658	1	0.3627	0.8109	0.742655492	1.496362037	1	0.20298565	0.57278404	0.274638708	904	201476565
0.765	1	0.3861	4.7421	0.805412417	3.32341237	8	0.263995133	0.749717091	0.024037247	1020	201476700
0.76	1	0.0027	4.7448	0.013858366	3.337270735	9	0.689429603	0.153965272	0.117950904	1021	201476700
0.763	1	0.342	5.6151	0.568217019	9.913542878	9	0.955064211	0.854739265	0.67406505	908	201476588
0.882	1	1.0359	13.9005	1.073466455	21.89978721	19	0.963614677	0.005877875	0.226550338	1031	201476701
0.778	1	0.2412	4.3497	0.782933131	4.608837159	7	0.097277809	0.458072787	0.539010542	1077	201476769
0.918	1	0.5562	23.5566	1.104583301	30.96866989	39	0.404283326	0.04916272	0.40572195	1100	201476816
0.736	1	0.009	7.2495	0.032197076	10.91277787	8	0.926385763	0.594455584	0.640502861	913	201476589
0.793	1	1.4895	7.2405	1.438035917	10.8805808	7	0.344938015	0.762244904	0.456212029	912	201476589
0.545	1	0.8442	0.8442	0.428301332	0.428301332	0	0.823789601	0.33720084	0.343885232	1425	201477220
0.569	1	0.2988	0.2988	0.362715653	0.362715653	0	0.150108721	0.470115873	0.245951062	808	201476405
0.648	1	0.5085	0.5085	1.024500171	1.024500171	0	0.409877444	0.023226136	0.932136481	1125	201476874
0.729	1	0.0018	5.751	0.01196627	9.44254488	6	0.412049737	0.620982699	0.224375294	911	201476589
0.566	1	0.405	0.405	0.872821797	0.872821797	0	0.339958064	0.07339897	0.987171298	804	201476405
0.566	1	0.7038	0.7038	0.383970336	0.383970336	0	0.22019525	0.725920627	0.243485582	623	201476197
0.58	1	0.2952	1.3617	1.095468947	2.729083647	2	0.381716787	0.798619802	0.563059169	802	201476405
